,install_date,platform,lt,installs,iap_revenue,ads_revenue
0,2021-05-01,android,0,22648,1191.3169543057597,2311.294507457611
1,2021-05-01,ios,0,5666,547.490741431457,942.256530997518
2,2021-05-01,android,1,6737,443.1133210684781,1234.4983084267433
3,2021-05-01,ios,1,2170,262.8064145210627,471.1816348036846
4,2021-05-01,android,2,5132,412.19461078608924,761.2377070692755
5,2021-05-01,ios,2,1650,158.1510836275462,280.50959264048834
6,2021-05-01,android,3,4136,305.3558617910088,541.6007287142479
7,2021-05-01,ios,3,1385,61.719566360413616,202.90299058419623
8,2021-05-01,android,4,3467,163.4230579974178,489.0573630726931
9,2021-05-01,ios,4,1248,35.24047193620366,171.04845626840688
10,2021-05-01,android,5,3064,368.2645012283993,596.1370653115187
11,2021-05-01,ios,5,1127,193.55991060607295,206.42949884050176
12,2021-05-01,android,6,2926,367.5904705544011,621.7037959917639
13,2021-05-01,ios,6,1111,188.12724706906891,179.3989838303587
14,2021-05-01,android,7,2731,207.69552338850235,513.9133404461338
15,2021-05-01,ios,7,1056,192.16228222337628,171.05633680836036
16,2021-05-01,android,8,2429,110.22223679612512,402.7246342497526
17,2021-05-01,ios,8,932,77.20592416336274,143.87003061446467
18,2021-05-01,android,9,2192,125.1375228879167,336.83306029850166
19,2021-05-01,ios,9,875,94.01938316162205,149.0907474566411
20,2021-05-01,android,10,2069,456.41693634034937,534.473101941021
21,2021-05-01,ios,10,833,188.42842496856045,157.98682474692396
22,2021-05-01,android,11,1974,165.83014225878793,449.7603363140272
23,2021-05-01,ios,11,842,78.31299028305935,145.12740303981445
24,2021-05-01,android,12,1863,224.58353190119826,294.0996234903844
25,2021-05-01,ios,12,777,188.79374151042344,210.76383340777102
26,2021-05-01,android,13,1819,218.28569058127349,308.83208231964795
27,2021-05-01,ios,13,776,148.15257493745435,151.1835118454428
28,2021-05-01,android,14,1734,229.20529211154474,284.8120226114578
29,2021-05-01,ios,14,763,400.40038010205996,141.05666453692356
30,2021-05-01,android,15,1623,112.1956761749397,259.9710211738311
31,2021-05-01,ios,15,718,44.72502967836261,127.06443043036688
32,2021-05-01,android,16,1481,64.31945565725886,189.26531657767828
33,2021-05-01,ios,16,679,33.62909984352738,60.368481834809245
34,2021-05-01,android,17,1435,62.037816783358984,205.15380841394108
35,2021-05-01,ios,17,666,140.48306491007145,67.6366578258021
36,2021-05-01,android,18,1382,35.58662708735901,168.32513650505916
37,2021-05-01,ios,18,656,27.474410421100735,60.131408858951545
38,2021-05-01,android,19,1350,153.72852486757006,185.007726516591
39,2021-05-01,ios,19,628,108.47555361021287,64.09246489739235
40,2021-05-01,android,20,1371,139.73475323285948,200.2199438131429
41,2021-05-01,ios,20,616,89.25937494103749,70.52518004624835
42,2021-05-01,android,21,1329,262.11295935490574,185.61345366808382
43,2021-05-01,ios,21,614,76.94316670172817,68.24041904284968
44,2021-05-01,android,22,1226,38.71114694590449,175.35986076210247
45,2021-05-01,ios,22,592,54.69679763185901,66.54695205338612
46,2021-05-01,android,23,1163,7.878454376520038,128.65244943503603
47,2021-05-01,ios,23,552,25.198506981372773,48.374948938246234
48,2021-05-01,android,24,1152,46.48133055079437,164.76029155126025
49,2021-05-01,ios,24,532,12.945798420113624,54.13180180890049
50,2021-05-01,android,25,1110,60.86006265432751,136.4369251965436
51,2021-05-01,ios,25,524,27.801316633513512,53.539606881707186
52,2021-05-01,android,26,1075,98.28764216670722,142.4013302568883
53,2021-05-01,ios,26,534,100.96887641801428,55.36501895526658
54,2021-05-01,android,27,1088,147.6834352974127,157.57745423681718
55,2021-05-01,ios,27,541,79.93557919310719,66.94700683537485
56,2021-05-01,android,28,1066,194.6405698137348,153.4845425009521
57,2021-05-01,ios,28,514,58.901263422387544,55.33777193593778
58,2021-05-01,android,29,1021,44.00169824856597,132.02452454963122
59,2021-05-01,ios,29,505,17.879677595510902,46.27438387532766
60,2021-05-01,android,30,967,17.38743638943541,99.78372541153487
